entity_name,purchase_count_12mo,example_property,example_price,example_sale_date,mailing_address,mailing_city_state_zip,sunbiz_search_url
HOUSING BEARS I LLC,2,"11465 NW 88 CT, 33018",496000,2026-04-15,14411 COMMERCE WAY 220,"MIAMI LAKES, FL 33016",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=HOUSING%20BEARS%20I%20LLC
HUMMINGBIRD 3100 2500 LLC,2,"2500 SW 31 AVE, 33133",875000,2025-08-15,12901 SW 132 AVE,"MIAMI, FL 33186",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=HUMMINGBIRD%203100%202500%20LLC
JADE PROJECTS LLC,2,"10835 SW 221 ST, 33170",275000,2026-01-21,2000 PONCE DE LEON BLVD 500,"CORAL GABLES, FL 33134",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=JADE%20PROJECTS%20LLC
JIMA PROPERTY HOLDINGS LLC,2,"360 NW 179 TER, 33169",270100,2026-05-07,17687 NW 78 AVE,"HIALEAH, FL 33015",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=JIMA%20PROPERTY%20HOLDINGS%20LLC
JKG ELIZABETH INVESTMENT LLC,2,"3164 PLAZA ST, 33133",2600000,2026-03-13,2901 LOOKOUT PI NE,"ATLANTA, GA 30305",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=JKG%20ELIZABETH%20INVESTMENT%20LLC
JUAN AND FAMILY INVESTMENTS LLC,2,"3701 NW 207 STREET RD, 33055",398000,2025-07-28,18191 NW 68 AVE STE 202,"HIALEAH, FL 33015",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=JUAN%20AND%20FAMILY%20INVESTMENTS%20LLC
KAFA 1 2 LLC,2,"3410 SW 24 ST, 33145",585000,2025-09-15,2045 BISCAYNE BLVD 375,"MIAMI BEACH, FL 33137",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=KAFA%201%202%20LLC
KARAI LLC,2,"352 SW 17 RD, 33129",575000,2025-09-09,500 BRICKELL AVE # 301,"MIAMI, FL 33131",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=KARAI%20LLC
KLAUS HAUS LLC,2,"12335 NE 12 PL, 33161",700000,2025-10-29,1290 NE 125 ST,"NORTH MIAMI, FL 33161",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=KLAUS%20HAUS%20LLC
KMM PROPERTY SOLUTIONS LLC,2,"6410 SW 17 ST, 33155",500000,2026-02-05,320 LINWOOD DR,"MIAMI SPRINGS, FL 33166",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=KMM%20PROPERTY%20SOLUTIONS%20LLC
